RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Property 1	Tracking Ratio [%]	Category Group	Category Binocular	Index Binocular	Pupil Diameter Right [mm]	Point of Regard Binocular X [px]	Point of Regard Binocular Y [px]	Point of Regard Right X [px]	Point of Regard Right Y [px]	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Video Time [h:m:s:ms]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
712657.2	13:36:20:063	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	2	4.6	649.4	395.4	633.1	527.2	0.1	-0.1	1.0	00:00:00:500	-	-	-	-	-	-	-	-
712690.4	13:36:20:096	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	2	4.6	652.1	392.2	635.5	526.0	0.1	-0.1	1.0	00:00:00:500	-	-	-	-	-	-	-	-
712723.8	13:36:20:130	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	2	4.6	652.8	391.6	636.4	525.3	0.1	-0.1	1.0	00:00:00:542	-	-	-	-	-	-	-	-
712766.1	13:36:20:172	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	2	4.5	648.6	383.7	630.4	520.3	0.1	-0.1	1.0	00:00:00:583	-	-	-	-	-	-	-	-
712790.8	13:36:20:197	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	2	4.4	634.3	380.4	616.4	517.6	0.1	-0.1	1.0	00:00:00:625	-	-	-	-	-	-	-	-
712823.5	13:36:20:230	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	3	4.4	636.1	376.3	616.4	514.5	0.1	-0.1	1.0	00:00:00:667	-	-	-	-	-	-	-	-
712856.7	13:36:20:263	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	3	4.4	638.4	375.2	618.2	515.1	0.1	-0.1	1.0	00:00:00:708	-	-	-	-	-	-	-	-
712890.2	13:36:20:296	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	3	4.4	640.2	373.4	618.0	513.8	0.1	-0.1	1.0	00:00:00:708	-	-	-	-	-	-	-	-
712923.4	13:36:20:329	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	3	4.4	636.2	373.5	614.7	510.7	0.1	-0.1	1.0	00:00:00:750	-	-	-	-	-	-	-	-
712956.7	13:36:20:363	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	3	4.3	636.2	371.4	614.4	508.5	0.1	-0.1	1.0	00:00:00:792	-	-	-	-	-	-	-	-
712989.9	13:36:20:396	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	3	4.2	638.8	370.9	616.8	508.9	0.1	-0.1	1.0	00:00:00:833	-	-	-	-	-	-	-	-
713023.1	13:36:20:429	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	3	4.2	661.4	367.9	636.2	505.4	0.1	-0.1	1.0	00:00:00:833	-	-	-	-	-	-	-	-
713056.5	13:36:20:463	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.1	667.4	363.6	638.0	501.8	0.1	-0.1	1.0	00:00:00:875	-	-	-	-	-	-	-	-
713089.8	13:36:20:496	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.2	669.4	361.1	640.7	501.7	0.1	-0.1	1.0	00:00:00:917	-	-	-	-	-	-	-	-
713123.0	13:36:20:529	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.1	669.4	362.4	640.6	502.1	0.1	-0.1	1.0	00:00:00:958	-	-	-	-	-	-	-	-
713156.4	13:36:20:562	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.0	678.1	351.4	642.0	497.5	0.1	-0.1	1.0	00:00:01:000	-	-	-	-	-	-	-	-
713189.6	13:36:20:596	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.1	670.2	360.7	639.7	501.5	0.1	-0.1	1.0	00:00:01:000	-	-	-	-	-	-	-	-
713223.0	13:36:20:629	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	4	4.1	671.2	357.9	641.7	498.2	0.1	-0.1	1.0	00:00:01:083	-	-	-	-	-	-	-	-
713256.2	13:36:20:662	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	4	4.1	674.0	357.0	642.3	498.9	0.1	-0.1	1.0	00:00:01:083	-	-	-	-	-	-	-	-
713289.3	13:36:20:695	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	4	4.2	645.8	415.3	625.2	542.2	0.1	-0.1	1.0	00:00:01:125	-	-	-	-	-	-	-	-
713322.7	13:36:20:729	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.2	647.2	418.1	628.4	545.0	0.1	-0.1	1.0	00:00:01:125	-	-	-	-	-	-	-	-
713356.0	13:36:20:762	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.2	648.7	413.9	631.0	543.1	0.1	-0.1	1.0	00:00:01:167	-	-	-	-	-	-	-	-
713389.3	13:36:20:795	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.3	645.4	416.6	629.3	542.4	0.1	-0.1	1.0	00:00:01:208	-	-	-	-	-	-	-	-
713422.5	13:36:20:829	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.3	648.3	412.1	630.8	541.0	0.1	-0.1	1.0	00:00:01:250	-	-	-	-	-	-	-	-
713455.8	13:36:20:862	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.4	650.0	411.4	633.4	538.0	0.1	-0.1	1.0	00:00:01:292	-	-	-	-	-	-	-	-
713489.0	13:36:20:895	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.4	651.5	409.0	633.3	537.2	0.1	-0.1	1.0	00:00:01:333	-	-	-	-	-	-	-	-
713522.4	13:36:20:928	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	5	4.4	651.8	410.2	634.1	539.4	0.1	-0.1	1.0	00:00:01:333	-	-	-	-	-	-	-	-
713555.6	13:36:20:962	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	5	4.4	652.3	403.1	633.8	533.2	0.1	-0.1	1.0	00:00:01:375	-	-	-	-	-	-	-	-
713588.9	13:36:20:995	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	5	4.4	662.4	356.6	630.5	497.3	0.1	-0.1	1.0	00:00:01:417	-	-	-	-	-	-	-	-
713622.1	13:36:21:028	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	664.4	355.1	632.7	498.7	0.1	-0.1	1.0	00:00:01:458	-	-	-	-	-	-	-	-
713655.4	13:36:21:061	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	662.3	359.0	633.5	500.0	0.1	-0.1	1.0	00:00:01:500	-	-	-	-	-	-	-	-
713688.7	13:36:21:095	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	663.3	361.2	634.2	500.8	0.1	-0.1	1.0	00:00:01:542	-	-	-	-	-	-	-	-
713721.9	13:36:21:128	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	663.3	364.4	637.3	503.0	0.1	-0.1	1.0	00:00:01:583	-	-	-	-	-	-	-	-
713755.3	13:36:21:161	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	663.8	363.9	636.2	503.7	0.1	-0.1	1.0	00:00:01:583	-	-	-	-	-	-	-	-
713788.5	13:36:21:194	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	663.5	364.7	637.2	505.2	0.1	-0.1	1.0	00:00:01:625	-	-	-	-	-	-	-	-
713821.7	13:36:21:228	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.4	661.2	367.2	635.0	506.6	0.1	-0.1	1.0	00:00:01:667	-	-	-	-	-	-	-	-
713855.1	13:36:21:261	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	6	4.3	659.8	368.1	634.2	506.6	0.1	-0.1	1.0	00:00:01:667	-	-	-	-	-	-	-	-
713888.4	13:36:21:294	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	6	4.3	664.9	375.7	639.0	511.2	0.1	-0.1	1.0	00:00:01:708	-	-	-	-	-	-	-	-
713921.6	13:36:21:328	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	6	4.2	680.4	378.2	651.5	515.5	0.1	-0.1	1.0	00:00:01:750	-	-	-	-	-	-	-	-
713954.9	13:36:21:361	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	7	4.3	680.9	381.2	651.6	519.0	0.1	-0.1	1.0	00:00:01:750	-	-	-	-	-	-	-	-
713988.2	13:36:21:394	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	7	4.2	680.3	380.1	652.1	514.5	0.1	-0.1	1.0	00:00:01:792	-	-	-	-	-	-	-	-
714021.5	13:36:21:428	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	7	4.2	679.7	382.2	652.2	517.2	0.1	-0.1	1.0	00:00:01:833	-	-	-	-	-	-	-	-
714055.0	13:36:21:461	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	7	4.2	680.9	380.4	653.0	516.4	0.1	-0.1	1.0	00:00:01:875	-	-	-	-	-	-	-	-
714088.2	13:36:21:494	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	7	4.2	686.8	375.9	654.5	515.0	0.1	-0.1	1.0	00:00:01:917	-	-	-	-	-	-	-	-
714121.2	13:36:21:527	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	8	4.2	688.0	377.8	657.7	514.6	0.1	-0.1	1.0	00:00:01:958	-	-	-	-	-	-	-	-
714154.4	13:36:21:560	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	8	4.2	691.8	379.1	661.7	515.2	0.1	-0.1	1.0	00:00:02:000	-	-	-	-	-	-	-	-
714187.9	13:36:21:594	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	8	4.2	697.3	378.9	665.2	518.2	0.1	-0.1	1.0	00:00:02:000	-	-	-	-	-	-	-	-
714221.2	13:36:21:627	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	8	4.3	705.6	379.4	673.4	517.1	0.0	-0.1	1.0	00:00:02:042	-	-	-	-	-	-	-	-
714254.4	13:36:21:660	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	8	4.3	713.9	381.7	681.0	516.4	0.0	-0.1	1.0	00:00:02:083	-	-	-	-	-	-	-	-
714287.5	13:36:21:694	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	8	4.3	720.7	381.3	688.1	516.7	0.0	-0.1	1.0	00:00:02:125	-	-	-	-	-	-	-	-
714320.9	13:36:21:727	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	8	4.4	734.1	379.0	696.5	516.8	0.0	-0.1	1.0	00:00:02:125	-	-	-	-	-	-	-	-
714354.3	13:36:21:760	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	9	4.3	740.8	381.0	704.5	516.6	0.0	-0.1	1.0	00:00:02:167	-	-	-	-	-	-	-	-
714387.5	13:36:21:794	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	9	4.4	748.8	380.3	710.9	518.5	0.0	-0.1	1.0	00:00:02:208	-	-	-	-	-	-	-	-
714420.8	13:36:21:827	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	9	4.4	754.6	380.7	718.1	518.0	0.0	-0.1	1.0	00:00:02:250	-	-	-	-	-	-	-	-
714453.9	13:36:21:860	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	9	4.4	733.8	382.7	696.0	518.3	0.0	-0.1	1.0	00:00:02:292	-	-	-	-	-	-	-	-
714487.2	13:36:21:893	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	9	4.4	744.7	381.4	707.1	519.2	0.0	-0.1	1.0	00:00:02:333	-	-	-	-	-	-	-	-
714520.6	13:36:21:927	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	758.2	371.3	718.7	514.4	0.0	-0.1	1.0	00:00:02:333	-	-	-	-	-	-	-	-
714553.8	13:36:21:960	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	769.7	371.3	727.9	514.8	0.0	-0.1	1.0	00:00:02:375	-	-	-	-	-	-	-	-
714587.1	13:36:21:993	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	785.0	372.5	739.6	511.5	0.0	-0.1	1.0	00:00:02:375	-	-	-	-	-	-	-	-
714620.7	13:36:22:027	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	790.1	366.1	745.2	513.2	0.0	-0.1	1.0	00:00:02:458	-	-	-	-	-	-	-	-
714653.7	13:36:22:060	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	796.3	369.3	748.6	512.2	0.0	-0.1	1.0	00:00:02:458	-	-	-	-	-	-	-	-
714687.0	13:36:22:093	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	798.3	366.9	751.6	507.6	0.0	-0.1	1.0	00:00:02:500	-	-	-	-	-	-	-	-
714720.2	13:36:22:126	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	798.0	374.7	754.8	511.7	0.0	-0.1	1.0	00:00:02:542	-	-	-	-	-	-	-	-
714753.4	13:36:22:159	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.5	798.2	377.7	754.0	512.7	0.0	-0.1	1.0	00:00:02:583	-	-	-	-	-	-	-	-
714786.7	13:36:22:193	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.5	799.3	382.4	755.8	518.0	0.0	-0.1	1.0	00:00:02:583	-	-	-	-	-	-	-	-
714820.1	13:36:22:226	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	10	4.4	804.7	379.5	761.6	518.7	-0.1	-0.1	1.0	00:00:02:625	-	-	-	-	-	-	-	-
714853.3	13:36:22:259	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	10	4.5	806.5	382.1	764.7	520.6	-0.1	-0.1	1.0	00:00:02:667	-	-	-	-	-	-	-	-
714886.5	13:36:22:293	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	10	4.5	814.1	382.7	769.8	521.2	-0.1	-0.1	1.0	00:00:02:708	-	-	-	-	-	-	-	-
714919.9	13:36:22:326	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.4	817.2	389.1	772.0	523.3	-0.1	-0.1	1.0	00:00:02:750	-	-	-	-	-	-	-	-
714953.3	13:36:22:359	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	819.0	391.5	777.1	524.1	-0.1	-0.1	1.0	00:00:02:792	-	-	-	-	-	-	-	-
714986.4	13:36:22:392	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	820.0	396.6	779.9	527.5	-0.1	-0.1	1.0	00:00:02:833	-	-	-	-	-	-	-	-
715019.7	13:36:22:426	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	821.8	397.3	780.9	529.9	-0.1	-0.1	1.0	00:00:02:833	-	-	-	-	-	-	-	-
715052.9	13:36:22:459	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	822.6	399.4	782.4	529.9	-0.1	-0.1	1.0	00:00:02:875	-	-	-	-	-	-	-	-
715086.2	13:36:22:492	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	823.8	404.4	784.2	534.5	-0.1	-0.1	1.0	00:00:02:917	-	-	-	-	-	-	-	-
715119.4	13:36:22:525	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	11	4.5	826.6	404.4	790.3	539.1	-0.1	-0.1	1.0	00:00:02:958	-	-	-	-	-	-	-	-
715152.8	13:36:22:559	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	11	4.5	831.2	409.4	794.7	539.0	-0.1	-0.1	1.0	00:00:03:000	-	-	-	-	-	-	-	-
715186.0	13:36:22:592	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	11	4.6	833.7	417.5	797.2	545.0	-0.1	-0.1	1.0	00:00:03:000	-	-	-	-	-	-	-	-
715219.3	13:36:22:625	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Saccade	11	4.6	808.7	422.7	781.7	547.7	-0.1	-0.1	1.0	00:00:03:042	-	-	-	-	-	-	-	-
715252.5	13:36:22:659	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	-	-	4.6	804.7	427.1	779.5	550.3	-0.1	-0.1	1.0	00:00:03:083	-	-	-	-	-	-	-	-
715285.8	13:36:22:692	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.6	806.4	432.6	782.8	556.7	-0.1	-0.1	1.0	00:00:03:083	-	-	-	-	-	-	-	-
715319.2	13:36:22:725	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.6	809.6	439.8	785.3	559.6	-0.1	-0.1	1.0	00:00:03:167	-	-	-	-	-	-	-	-
715352.4	13:36:22:758	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.6	806.7	446.2	784.9	562.0	-0.1	-0.1	1.0	00:00:03:167	-	-	-	-	-	-	-	-
715385.7	13:36:22:792	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.6	799.8	451.1	780.3	568.3	-0.1	-0.1	1.0	00:00:03:208	-	-	-	-	-	-	-	-
715418.9	13:36:22:825	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.3	979.5	459.5	962.8	587.7	-0.3	-0.1	1.0	00:00:03:250	-	-	-	-	-	-	-	-
715452.1	13:36:22:858	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.2	1265.4	500.4	1151.1	598.6	-0.4	-0.1	0.9	00:00:03:292	-	-	-	-	-	-	-	-
715485.5	13:36:22:892	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.2	1258.6	500.2	1157.9	599.5	-0.4	-0.1	0.9	00:00:03:333	-	-	-	-	-	-	-	-
715518.8	13:36:22:925	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.2	1251.5	505.0	1155.5	602.2	-0.4	-0.1	0.9	00:00:03:333	-	-	-	-	-	-	-	-
715552.0	13:36:22:958	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	1	4.3	1246.1	504.8	1155.7	604.1	-0.4	-0.1	0.9	00:00:03:375	-	-	-	-	-	-	-	-
715585.2	13:36:22:991	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	12	4.3	1249.3	509.8	1161.2	609.9	-0.4	-0.1	0.9	00:00:03:417	-	-	-	-	-	-	-	-
715618.6	13:36:23:025	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	12	4.3	1249.3	513.3	1160.8	611.9	-0.4	-0.1	0.9	00:00:03:458	-	-	-	-	-	-	-	-
715651.8	13:36:23:058	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	12	4.2	1253.2	522.1	1165.6	618.4	-0.4	-0.1	0.9	00:00:03:500	-	-	-	-	-	-	-	-
715685.1	13:36:23:091	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	12	4.3	1211.2	535.5	1138.7	626.3	-0.4	-0.1	0.9	00:00:03:500	-	-	-	-	-	-	-	-
715718.4	13:36:23:124	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Visual Intake	12	4.2	1211.6	534.1	1139.9	628.7	-0.4	-0.1	0.9	00:00:03:542	-	-	-	-	-	-	-	-
715751.7	13:36:23:158	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	2	4.3	1207.5	527.5	1135.0	624.6	-0.4	-0.1	0.9	00:00:03:583	-	-	-	-	-	-	-	-
715784.9	13:36:23:191	Trial001	1161201178-1-recording.avi	0.0	61090.4	1161201178	Coral	me	99.5	Eye	Blink	2	4.3	1195.0	528.8	1125.8	623.1	-0.4	-0.1	0.9	00:00:03:625	-	-	-	-	-	-	-	-
